name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
KANHERI,kanheri,Outdoor Plants,,Outdoor plant,69900,49900,OUT-216,20,
KUNDA,kunda,Outdoor Plants,,Outdoor plant,69900,49900,OUT-217,20,
MORINGA,moringa,Outdoor Plants,,Outdoor plant,69900,49900,OUT-218,20,
PEEPAL TREE,peepal-tree,Outdoor Plants,,Outdoor plant,69900,49900,OUT-219,20,
PETUNIA,petunia,Outdoor Plants,,Outdoor plant,69900,49900,OUT-220,20,
RHOEO SPATHACEA (OYSTER PLANT),rhoeo-spathacea,Outdoor Plants,,Outdoor plant,69900,49900,OUT-221,20,
SALVIA,salvia,Outdoor Plants,,Outdoor plant,69900,49900,OUT-222,20,
SONG OF JAMAICA (DRACAENA REFLEXA),song-of-jamaica,Outdoor Plants,,Outdoor plant,69900,49900,OUT-223,20,
YUCCA (YUCCA ELEPHANTIPES),yucca-elephantipes,Outdoor Plants,,Outdoor plant,69900,49900,OUT-224,20,

CADAMBA/ BURFLOWER,cadamba-burflower,Fragrant Plants,,Fragrant plant,59900,39900,FRG-200,25,
CALENDULA,calendula,Fragrant Plants,,Fragrant plant,59900,39900,FRG-201,25,
CARNATION,carnation,Fragrant Plants,,Fragrant plant,59900,39900,FRG-202,25,
CHAFA,chafa,Fragrant Plants,,Fragrant plant,59900,39900,FRG-203,25,
CHAMELI,chameli,Fragrant Plants,,Fragrant plant,59900,39900,FRG-204,25,
CURRY LEAVES,curry-leaves,Fragrant Plants,,Fragrant plant,59900,39900,FRG-205,25,
DIANTHUS,dianthus,Fragrant Plants,,Fragrant plant,59900,39900,FRG-206,25,
DUTCH ROSE,dutch-rose,Fragrant Plants,,Fragrant plant,59900,39900,FRG-207,25,
FREESIA,freesia,Fragrant Plants,,Fragrant plant,59900,39900,FRG-208,25,
HELIOTROPE,heliotrope,Fragrant Plants,,Fragrant plant,59900,39900,FRG-209,25,
JASMINE PLANT (MOGRA),jasmine-plant-mogra,Fragrant Plants,,Fragrant plant,59900,39900,FRG-210,25,
LAVENDER,lavender,Fragrant Plants,,Fragrant plant,59900,39900,FRG-211,25,
LEMON BALM,lemon-balm,Fragrant Plants,,Fragrant plant,59900,39900,FRG-212,25,
